"Freq [GHz]","arg(St(stripline1_T1,stripline1_T1)) [deg]","arg(St(stripline1_T2,stripline1_T1)) [deg]","arg(St(stripline1_T3,stripline1_T1)) [deg]","arg(St(stripline1_T4,stripline1_T1)) [deg]"
1,179.970638915491,-0.0109600026783159,-0.0141742385904658,-0.0147134515420474
1.02,179.970911385698,-0.011059073619208,-0.0140837626374976,-0.0147311812866529
1.04,179.971069769335,-0.0111740781428195,-0.0140478615624554,-0.0147880805728054
1.06,179.971125165661,-0.0113024962355633,-0.014061148971894,-0.0148801578606733
1.08,179.971088321561,-0.0114420801913664,-0.0141184521334844,-0.0150035821478414
1.1,179.970969524834,-0.0115908365691744,-0.0142148514047555,-0.0151547130161367
1.12,179.970778527509,-0.0117470075638771,-0.0143457074231438,-0.0153301213872797
1.14,179.970524493868,-0.0119090522958393,-0.0145066782882101,-0.0155266026551781
1.16,179.970215968658,-0.0120756283788179,-0.014693728623607,-0.0157411836273234
1.18,179.969860861668,-0.0122455740330755,-0.0149031321170111,-0.0159711244855157
1.2,179.969466445381,-0.0124178909463884,-0.0151314688988297,-0.0162139167906366
1.22,179.969039362974,-0.0125917280169467,-0.0153756188771202,-0.016467278388559
1.24,179.968585644343,-0.0127663660616893,-0.0156327519880271,-0.0167291459456524
1.26,179.96811072823,-0.0129412035407842,-0.0159003161423467,-0.0169976657154488
1.28,179.967619488841,-0.0131157433177409,-0.016176023527012,-0.0172711830275807
1.3,179.967116265631,-0.0132895804523197,-0.0164578357875969,-0.017548230925306
1.32,179.966604895156,-0.0134623910019293,-0.016743948544676,-0.0178275182744651
1.34,179.966088744118,-0.0136339218003448,-0.0170327755836727,-0.0181079176327571
1.36,179.96557074287,-0.0138039811730434,-0.0173229330148116,-0.0183884530834001
1.38,179.965053418815,-0.0139724305350493,-0.0176132236221273,-0.0186682882229187
1.4,179.964538929247,-0.0141391768250672,-0.0179026215809081,-0.0189467144310882
1.42,179.96402909328,-0.0143041657158734,-0.0181902576763601,-0.0192231395304737
1.44,179.963525422602,-0.0144673755486687,-0.018475405124873,-0.0194970769138458
1.46,179.963029150861,-0.0146288119382421,-0.0187574660691538,-0.0197681351952439
1.48,179.962541261544,-0.0147885029868884,-0.0190359587967078,-0.0200360084247466
1.5,179.962062514267,-0.014946495070512,-0.0193105057044951,-0.020300466885269
1.52,179.961593469414,-0.0151028491300277,-0.0195808220347252,-0.0205613484863208
1.54,179.961134511136,-0.0152576374343509,-0.0198467053716259,-0.0208185507525678
1.56,179.960685868679,-0.0154109407656723,-0.0201080258928358,-0.0210720234035565
1.58,179.960247636106,-0.0155628459857278,-0.02036471736552,-0.0213217615068204
1.6,179.959819790436,-0.0157134439442623,-0.0206167688517179,-0.0215677991901768
1.62,179.959402208264,-0.0158628276957339,-0.0208642171072081,-0.0218102038911089
1.64,179.958994680926,-0.0160110909928723,-0.0211071396359968,-0.0220490711148028
1.66,179.958596928268,-0.0161583270183479,-0.0213456483708655,-0.0222845196852527
1.68,179.958208611122,-0.0163046273420102,-0.0215798839431289,-0.0225166874463592
1.7,179.957829342527,-0.0164500810596807,-0.0218100105091651,-0.0227457274045193
1.72,179.957458697815,-0.0165947741092796,-0.02203621109803,-0.0229718042666013
1.74,179.957096223596,-0.0167387887287495,-0.0222586834434648,-0.0231950913608154
1.76,179.956741445757,-0.0168822030452879,-0.0224776362681051,-0.0234157679037623
1.78,179.956393876523,-0.0170250907757528,-0.0226932859883349,-0.0236340165919266
1.8,179.956053020666,-0.0171675210236957,-0.0229058538019366,-0.023850021491876
1.82,179.955718380925,-0.0173095581583377,-0.0231155631356236,-0.024063966203241
1.84,179.955389462701,-0.0174512617657962,-0.0233226374163975,-0.024276032274204
1.86,179.955065778099,-0.017592686658606,-0.0235272981436999,-0.0244863978441352
1.88,179.954746849364,-0.0177338829357118,-0.0237297632341475,-0.0246952364958541
1.9,179.954432211776,-0.0178748960821206,-0.0239302456138623,-0.024902716296614
1.92,179.954121416056,-0.0180157671062083,-0.0241289520342146,-0.0251089990088741
1.94,179.95381403032,-0.0181565326987425,-0.0243260820946453,-0.0253142394559049
1.96,179.953509641644,-0.0182972254183596,-0.0245218274448047,-0.0255185850223731
1.98,179.95320785727,-0.0184378738880268,-0.0247163711530322,-0.0257221752827118
2,179.952908305495,-0.0185785030077231,-0.0249098872206079,-0.0259251417319333
2.02,179.95261063628,-0.0187191341714643,-0.0251025402281688,-0.026127607620974
2.04,179.952314521612,-0.0188597854900998,-0.0252944850962635,-0.02632968787025
2.06,179.952019655648,-0.0190004720162314,-0.0254858669499778,-0.0265314890630473
2.08,179.951725754674,-0.0191412059676295,-0.0256768210724482,-0.0267331094998957
2.1,179.951432556892,-0.0192819969480061,-0.0258674729375161,-0.0269346393115895
2.12,179.951139822075,-0.0194228521621046,-0.0260579383100459,-0.0271361606191699
2.14,179.950847331097,-0.0195637766283715,-0.0262483234034983,-0.027337747733583
2.16,179.950554885364,-0.0197047733813816,-0.0264387250900096,-0.0275394673918353
2.18,179.950262306162,-0.0198458436668928,-0.0266292311509478,-0.0277413790177534
2.2,179.949969433936,-0.0199869871298921,-0.0268199205610563,-0.0279435350089926
2.22,179.949676127514,-0.0201282019930067,-0.0270108638050471,-0.0281459810385502
2.24,179.949382263288,-0.0202694852252857,-0.0272021232126193,-0.0283487563726884
2.26,179.949087734373,-0.0204108327007623,-0.0273937533141832,-0.0285518941960656
2.28,179.948792449727,-0.0205522393487408,-0.0275858012101793,-0.0287554219447057
2.3,179.948496333276,-0.0206936992946477,-0.0277783069472078,-0.0289593616421646
2.32,179.948199323025,-0.0208352059885643,-0.0279713039006765,-0.0291637302357406
2.34,179.947901370169,-0.0209767523286897,-0.0281648191613929,-0.0293685399312866
2.36,179.947602438219,-0.0211183307713463,-0.0283588739199138,-0.0295737985244714
2.38,179.947302502128,-0.0212599334342753,-0.0285534838502989,-0.0297795097261261
2.4,179.94700154745,-0.0214015521920311,-0.0287486594848643,-0.0299856734833036
2.42,179.9466995695,-0.0215431787606382,-0.0289444065882103,-0.0301922862874211
2.44,179.946396572552,-0.0216848047762561,-0.0291407265175027,-0.0303993414791095
2.46,179.946092569055,-0.0218264218649262,-0.0293376165771504,-0.0306068295384518
2.48,179.945787578879,-0.0219680217060173,-0.0295350703618306,-0.0308147383670638
2.5,179.945481628587,-0.0221095960885461,-0.029733078087103,-0.0310230535584568
2.52,179.94517475074,-0.0222511369602632,-0.0299316269092827,-0.0312317586566942
2.54,179.944866983231,-0.0223926364724719,-0.0301307012318623,-0.0314408354036794
2.56,179.944558368656,-0.0225340870160991,-0.0303302829991682,-0.0316502639748042
2.58,179.944248953707,-0.0226754812559183,-0.0305303519777851,-0.0318600232005314
2.6,179.943938788604,-0.0228168121564286,-0.0307308860228309,-0.0320700907781961
2.62,179.94362792656,-0.0229580730066863,-0.0309318613307888,-0.0322804434704888
2.64,179.943316423272,-0.0230992574363662,-0.0311332526808467,-0.0324910572933258
2.66,179.943004336446,-0.0232403594334325,-0.0313350336599877,-0.0327019076903393
2.68,179.942691725353,-0.0233813733522453,-0.0315371768776649,-0.0329129696964322
2.7,179.942378650415,-0.0235222939222976,-0.031739654164564,-0.033124218091717
2.72,179.942065172819,-0.0236631162540964,-0.0319424367611846,-0.0333356275415039
2.74,179.941751354158,-0.0238038358384569,-0.0321454954929298,-0.0335471727287446
2.76,179.941437256103,-0.023944448548374,-0.0323488009305205,-0.0337588284737727
2.78,179.941122940098,-0.0240849506337534,-0.0325523235444878,-0.0339705698461493
2.8,179.94080846708,-0.0242253387187685,-0.0327560338418688,-0.0341823722652748
2.82,179.94049389723,-0.0243656097936361,-0.0329599024952187,-0.0343942115929676
2.84,179.940179289738,-0.0245057612067226,-0.0331639004615847,-0.0346060642164618
2.86,179.939864702592,-0.0246457906560488,-0.0333679990890085,-0.0348179071236879
2.88,179.939550192399,-0.0247856961756238,-0.0335721702153822,-0.0350297179702782
2.9,179.939235814211,-0.0249254761270262,-0.0337763862558649,-0.0352414751391819
2.92,179.938921621379,-0.0250651291844555,-0.03398062028341,-0.0354531577920778
2.94,179.938607665426,-0.0252046543219998,-0.0341848460990578,-0.035664745916059
2.96,179.93829399593,-0.0253440507997818,-0.0343890382968584,-0.0358762203600398
2.98,179.93798066043,-0.0254833181494519,-0.034593172316743,-0.0360875628709253
3,179.937667704344,-0.0256224561587989,-0.0347972244951723,-0.0362987561175087
3.02,179.937355170905,-0.0257614648578582,-0.035001172105147,-0.0365097837134595
3.04,179.9370431011,-0.0259003445033301,-0.0352049933916155,-0.0367206302340524
3.06,179.936731533639,-0.0260390955625434,-0.0354086676010182,-0.0369312812271946
3.08,179.936420504917,-0.0261777187000519,-0.0356121750042462,-0.0371417232209839
3.1,179.936110048998,-0.0263162147612883,-0.0358154969133649,-0.0373519437276326
3.12,179.935800197609,-0.0264545847581096,-0.0360186156980224,-0.0375619312411369
3.14,179.935490980135,-0.0265928298540427,-0.0362215147907129,-0.0377716752359517
3.16,179.935182423635,-0.0267309513509787,-0.036424178692245,-0.0379811661571459
3.18,179.934874552852,-0.0268689506735557,-0.0366265929728692,-0.0381903954106304
3.2,179.934567390242,-0.0270068293571233,-0.0368287442676694,-0.0383993553505178
3.22,179.934260956002,-0.0271445890334837,-0.0370306202696999,-0.0386080392634483
3.24,179.933955268108,-0.0272822314189909,-0.0372322097215456,-0.0388164413501852
3.26,179.933650342358,-0.0274197583014391,-0.0374335024014711,-0.0390245567051109
3.28,179.933346192415,-0.0275571715290337,-0.037634489107854,-0.0392323812962052
3.3,179.933042829862,-0.0276944729986376,-0.0378351616430057,-0.0394399119390413
3.32,179.932740264255,-0.0278316646453416,-0.0380355127921282,-0.0396471462735919
3.34,179.932438503185,-0.0279687484320485,-0.038235536302083,-0.0398540827364098
3.36,179.932137552333,-0.0281057263398647,-0.0384352268579441,-0.0400607205342113
3.38,179.931837415539,-0.0282426003589667,-0.0386345800587644,-0.0402670596142177
3.4,179.931538094867,-0.0283793724799199,-0.0388335923899801,-0.0404731006358962
3.42,179.931239590674,-0.0285160446856383,-0.0390322611979517,-0.0406788449395791
3.44,179.930941901677,-0.028652618944138,-0.0392305846596201,-0.0408842945160297
3.46,179.930645025027,-0.0287890972014309,-0.0394285617546248,-0.0410894519758298
3.48,179.930348956377,-0.0289254813744536,-0.0396261922356086,-0.041294320516843
3.5,179.930053689958,-0.0290617733464958,-0.0398234765959328,-0.0414989038936572
3.52,179.92975921865,-0.0291979749603596,-0.0400204160410605,-0.041703206382861
3.54,179.929465534053,-0.0293340880147274,-0.0402170124552899,-0.0419072327546132
3.56,179.929172626565,-0.029470114258706,-0.0404132683719127,-0.042110988237139
3.58,179.92888048545,-0.0296060553887912,-0.0406091869399206,-0.0423144784865929
3.6,179.928589098912,-0.0297419130447212,-0.0408047718933699,-0.0425177095552397
3.62,179.928298454167,-0.0298776888068504,-0.0410000275201654,-0.0427206878582569
3.64,179.928008537512,-0.0300133841940801,-0.0411949586288057,-0.0429234201442406
3.66,179.927719334397,-0.0301490006604579,-0.0413895705192366,-0.0431259134630828
3.68,179.927430829496,-0.0302845395944998,-0.0415838689495089,-0.0433281751356956
3.7,179.927143006768,-0.030420002318065,-0.0417778601070759,-0.0435302127241128
3.72,179.926855849531,-0.0305553900845435,-0.0419715505770613,-0.0437320340006668
3.74,179.926569340525,-0.0306907040791673,-0.0421649473134863,-0.0439336469202581
3.76,179.926283461974,-0.0308259454178081,-0.0423580576079993,-0.0441350595914781
3.78,179.925998195652,-0.0309611151484256,-0.0425508890633639,-0.0443362802476444
3.8,179.92571352294,-0.0310962142501838,-0.0427434495627084,-0.0445373172201832
3.82,179.925429424892,-0.0312312436350489,-0.0429357472433543,-0.0447381789125018
3.84,179.925145882284,-0.0313662041491837,-0.0431277904684135,-0.0449388737722429
3.86,179.924862875679,-0.0315010965725628,-0.0433195878013807,-0.045139410267989
3.88,179.924580385477,-0.0316359216223118,-0.0435111479790804,-0.0453397968624399
3.9,179.924298391968,-0.0317706799536391,-0.0437024798871217,-0.0455400419907971
3.92,179.924016875383,-0.0319053721626046,-0.0438935925349136,-0.045740154035034
3.94,179.923735815947,-0.0320399987868345,-0.0440844950322028,-0.0459401413037683
3.96,179.923455193923,-0.0321745603097429,-0.0442751965655761,-0.0461400120090695
3.98,179.923174989657,-0.0323090571617423,-0.0444657063760206,-0.0463397742461937
4,179.922895183627,-0.0324434897242453,-0.044656033737356,-0.0465394359730783
4.02,179.92261575648,-0.0325778583311445,-0.0448461879357818,-0.0467390049912005
4.04,179.922336689078,-0.0327121632735504,-0.0450361782478216,-0.0469384889265806
4.06,179.922057962531,-0.0328464048012382,-0.045226013922973,-0.047137895212298
4.08,179.921779558239,-0.0329805831277531,-0.0454157041633264,-0.0473372310716288
4.1,179.921501457925,-0.0331146984320329,-0.0456052581067681,-0.0475365035008298
4.12,179.921223643672,-0.0332487508631328,-0.0457946848079551,-0.0477357192546606
4.14,179.920946097948,-0.0333827405436936,-0.0459839932232827,-0.0479348848304454
4.16,179.920668803644,-0.0335166675729097,-0.0461731921940388,-0.0481340064556037
4.18,179.920391744099,-0.0336505320309017,-0.046362290431191,-0.0483330900733769
4.2,179.92011490313,-0.0337843339818309,-0.0465512965012081,-0.0485321413299209
4.22,179.919838265053,-0.0339180734785501,-0.0467402188116783,-0.0487311655639873
4.24,179.91956181471,-0.034051750565045,-0.0469290655990123,-0.0489301677946257
4.26,179.919285537491,-0.034185365281927,-0.0471178449146114,-0.049129152712037
4.28,179.919009419358,-0.0343189176691382,-0.047306564613513,-0.0493281246668565
4.3,179.918733446857,-0.0344524077694894,-0.0474952323439588,-0.0495270876625868
4.32,179.918457607143,-0.034585835633329,-0.0476838555353214,-0.049726045346754
4.34,179.918181887997,-0.0347192013216417,-0.0478724413891113,-0.0499250010036899
4.36,179.917906277834,-0.0348525049110988,-0.0480609968685497,-0.0501239575485104
4.38,179.917630765724,-0.0349857464950698,-0.0482495286913233,-0.0503229175202573
4.4,179.917355341401,-0.0351189261905567,-0.0484380433201559,-0.0505218830769353
4.42,179.917079995278,-0.0352520441391335,-0.0486265469544856,-0.0507208559915952
4.44,179.916804718452,-0.0353851005118682,-0.0488150455250747,-0.0509198376472927
4.46,179.916529502714,-0.0355180955128106,-0.0490035446858966,-0.0511188290351549
4.48,179.916254340562,-0.0356510293816348,-0.0491920498089302,-0.0513178307503904
4.5,179.9159792252,-0.0357839023976815,-0.0493805659780981,-0.0515168429919175
4.52,179.915704150546,-0.0359167148830906,-0.049569097984456,-0.051715865559574
4.54,179.915429111238,-0.0360494672055372,-0.0497576503212056,-0.0519148978548234
4.56,179.915154102635,-0.036182159781713,-0.04994622718038,-0.0521139388793838
4.58,179.914879120819,-0.0363147930803204,-0.0501348324478971,-0.0523129872373862
4.6,179.914604162597,-0.0364473676250084,-0.0503234697015581,-0.0525120411352222
4.62,179.914329225499,-0.0365798839960663,-0.0505121422085997,-0.0527110983840363
4.64,179.914054307778,-0.0367123428352151,-0.0507008529213753,-0.0529101564018949
4.66,179.913779408407,-0.0368447448460714,-0.0508896044776065,-0.0531092122172247
4.68,179.91350452708,-0.0369770907973934,-0.0510783991979944,-0.0533082624718653
4.7,179.9132296642,-0.0371093815255188,-0.0512672390850615,-0.053507303425512
4.72,179.912954820881,-0.0372416179365113,-0.051456125822627,-0.0537063309603166
4.74,179.91267999894,-0.0373738010074615,-0.0516450607757357,-0.053905340586783
4.76,179.912405200888,-0.0375059317899104,-0.0518340449902453,-0.0541043274484746
4.78,179.912130429927,-0.0376380114093082,-0.0520230791940151,-0.0543032863294103
4.8,179.911855689937,-0.0377700410691325,-0.0522121637974956,-0.054502211660263
4.82,179.91158098547,-0.0379020220507521,-0.0524012988939064,-0.0547010975268541
4.84,179.911306321739,-0.0380339557145427,-0.0525904842632659,-0.0548999376770259
4.86,179.911031704604,-0.0381658435026819,-0.0527797193714219,-0.0550987255300158
4.88,179.910757140566,-0.0382976869383613,-0.052969003374583,-0.0552974541848357
4.9,179.910482636751,-0.0384294876275772,-0.0531583351208764,-0.0554961164299258
4.92,179.910208200898,-0.038561247259707,-0.0533477131529945,-0.0556947047544486
4.94,179.909933841344,-0.0386929676079183,-0.0535371357128234,-0.0558932113567276
4.96,179.909659567011,-0.0388246505293997,-0.0537266007437914,-0.0560916281569498
4.98,179.909385387388,-0.0389562979657559,-0.0539161058960577,-0.0562899468078523
5,179.909111312519,-0.0390879119430958,-0.0541056485291335,-0.0564881587070042
5.02,179.908837352983,-0.0392194945709201,-0.0542952257190054,-0.0566862550095353
5.04,179.908563519877,-0.0393510480437236,-0.0544848342603627,-0.0568842266404195
5.06,179.908289824798,-0.0394825746379244,-0.0546744706748547,-0.0570820643087349
5.08,179.908016279827,-0.0396140767133624,-0.054864131213831,-0.0572797585205856
5.1,179.907742897503,-0.0397455567108801,-0.0550538118672826,-0.0574772995939692
5.12,179.907469690811,-0.0398770171519822,-0.0552435083678446,-0.0576746776741108
5.14,179.907196673153,-0.0400084606372118,-0.0554332161991206,-0.0578718827465681
5.16,179.906923858333,-0.0401398898443471,-0.0556229306021942,-0.0580689046556968
5.18,179.906651260531,-0.0402713075273669,-0.0558126465827129,-0.0582657331183637
5.2,179.906378894283,-0.0404027165135397,-0.0560023589196975,-0.0584623577416799
5.22,179.906106774454,-0.0405341197022653,-0.0561920621728355,-0.0586587680392605
5.24,179.905834916216,-0.0406655200615507,-0.056381750691418,-0.0588549534492438
5.26,179.905563335025,-0.0407969206261719,-0.0565714186233654,-0.0590509033506037
5.28,179.905292046589,-0.0409283244944598,-0.0567610599247232,-0.0592466070828587
5.3,179.905021066852,-0.0410597348248964,-0.0569506683684103,-0.0594420539636737
5.32,179.904750411959,-0.041191154833488,-0.057140237555674,-0.0596372333076954
5.34,179.90448009823,-0.0413225877892096,-0.0573297609257706,-0.0598321344459386
5.36,179.904210142135,-0.041454037010448,-0.0575192317666737,-0.0600267467458293
5.38,179.903940560264,-0.041585505860832,-0.0577086432275009,-0.060221059630584
5.4,179.903671369297,-0.0417169977448094,-0.0578979883285528,-0.0604150626001746
5.42,179.903402585973,-0.0418485161023885,-0.0580872599753212,-0.0606087452511107
5.44,179.903134227064,-0.0419800644048573,-0.0582764509691849,-0.0608020972991886
5.46,179.902866309337,-0.0421116461481987,-0.0584655540221843,-0.06099510859934
